LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,CPI,TOT,AGRWTH,A,2008,4.036558,
IRL,CPI,TOT,AGRWTH,A,2009,-4.481861,
IRL,CPI,TOT,AGRWTH,A,2010,-0.9367282,
IRL,CPI,TOT,AGRWTH,A,2011,2.578871,
IRL,CPI,TOT,AGRWTH,A,2012,1.692785,
IRL,CPI,TOT,AGRWTH,A,2013,0.5026782,
IRL,CPI,TOT,AGRWTH,A,2014,0.1967858,
IRL,CPI,TOT,AGRWTH,A,2015,-0.294599,
ITA,CPI,TOT,AGRWTH,A,2000,2.537687,
ITA,CPI,TOT,AGRWTH,A,2001,2.785166,
ITA,CPI,TOT,AGRWTH,A,2002,2.46532,
ITA,CPI,TOT,AGRWTH,A,2003,2.672559,
ITA,CPI,TOT,AGRWTH,A,2004,2.206736,
ITA,CPI,TOT,AGRWTH,A,2005,1.985294,
ITA,CPI,TOT,AGRWTH,A,2006,2.090843,
ITA,CPI,TOT,AGRWTH,A,2007,1.829738,
ITA,CPI,TOT,AGRWTH,A,2008,3.347834,
ITA,CPI,TOT,AGRWTH,A,2009,0.7747682,
ITA,CPI,TOT,AGRWTH,A,2010,1.525516,
ITA,CPI,TOT,AGRWTH,A,2011,2.780633,
ITA,CPI,TOT,AGRWTH,A,2012,3.041363,
ITA,CPI,TOT,AGRWTH,A,2013,1.219992,
ITA,CPI,TOT,AGRWTH,A,2014,0.2410575,
ITA,CPI,TOT,AGRWTH,A,2015,0.03878675,
JPN,CPI,TOT,AGRWTH,A,2000,-0.6765787,
JPN,CPI,TOT,AGRWTH,A,2001,-0.7400555,
JPN,CPI,TOT,AGRWTH,A,2002,-0.923494,
JPN,CPI,TOT,AGRWTH,A,2003,-0.2565418,
JPN,CPI,TOT,AGRWTH,A,2004,-0.008573388,
JPN,CPI,TOT,AGRWTH,A,2005,-0.2829461,
JPN,CPI,TOT,AGRWTH,A,2006,0.2493551,
JPN,CPI,TOT,AGRWTH,A,2007,0.06003945,
JPN,CPI,TOT,AGRWTH,A,2008,1.380079,
JPN,CPI,TOT,AGRWTH,A,2009,-1.352837,
JPN,CPI,TOT,AGRWTH,A,2010,-0.7199794,
JPN,CPI,TOT,AGRWTH,A,2011,-0.2676336,
JPN,CPI,TOT,AGRWTH,A,2012,-0.05193906,
JPN,CPI,TOT,AGRWTH,A,2013,0.3464403,
JPN,CPI,TOT,AGRWTH,A,2014,2.761954,
JPN,CPI,TOT,AGRWTH,A,2015,0.7895179,
KOR,CPI,TOT,AGRWTH,A,2000,2.259185,
KOR,CPI,TOT,AGRWTH,A,2001,4.06642,
KOR,CPI,TOT,AGRWTH,A,2002,2.762511,
KOR,CPI,TOT,AGRWTH,A,2003,3.514879,
KOR,CPI,TOT,AGRWTH,A,2004,3.590591,
KOR,CPI,TOT,AGRWTH,A,2005,2.75409,
KOR,CPI,TOT,AGRWTH,A,2006,2.241847,
KOR,CPI,TOT,AGRWTH,A,2007,2.534847,
KOR,CPI,TOT,AGRWTH,A,2008,4.673796,
KOR,CPI,TOT,AGRWTH,A,2009,2.756686,
KOR,CPI,TOT,AGRWTH,A,2010,2.939181,
KOR,CPI,TOT,AGRWTH,A,2011,4.025846,
KOR,CPI,TOT,AGRWTH,A,2012,2.187221,
KOR,CPI,TOT,AGRWTH,A,2013,1.301377,
KOR,CPI,TOT,AGRWTH,A,2014,1.274715,
KOR,CPI,TOT,AGRWTH,A,2015,0.7062082,
LUX,CPI,TOT,AGRWTH,A,2000,3.150768,
LUX,CPI,TOT,AGRWTH,A,2001,2.663822,
LUX,CPI,TOT,AGRWTH,A,2002,2.074089,
LUX,CPI,TOT,AGRWTH,A,2003,2.04984,
LUX,CPI,TOT,AGRWTH,A,2004,2.225681,
LUX,CPI,TOT,AGRWTH,A,2005,2.487693,
LUX,CPI,TOT,AGRWTH,A,2006,2.666315,
LUX,CPI,TOT,AGRWTH,A,2007,2.312459,
LUX,CPI,TOT,AGRWTH,A,2008,3.40188,
LUX,CPI,TOT,AGRWTH,A,2009,0.368042,
LUX,CPI,TOT,AGRWTH,A,2010,2.273679,
LUX,CPI,TOT,AGRWTH,A,2011,3.410683,
LUX,CPI,TOT,AGRWTH,A,2012,2.662842,
LUX,CPI,TOT,AGRWTH,A,2013,1.73404,
LUX,CPI,TOT,AGRWTH,A,2014,0.628544,
LUX,CPI,TOT,AGRWTH,A,2015,0.4747432,
MEX,CPI,TOT,AGRWTH,A,2000,9.49156,
MEX,CPI,TOT,AGRWTH,A,2001,6.367737,
MEX,CPI,TOT,AGRWTH,A,2002,5.030733,
MEX,CPI,TOT,AGRWTH,A,2003,4.546898,
MEX,CPI,TOT,AGRWTH,A,2004,4.688407,
MEX,CPI,TOT,AGRWTH,A,2005,3.988061,
MEX,CPI,TOT,AGRWTH,A,2006,3.629463,
MEX,CPI,TOT,AGRWTH,A,2007,3.96685,
MEX,CPI,TOT,AGRWTH,A,2008,5.124982,
MEX,CPI,TOT,AGRWTH,A,2009,5.297357,
MEX,CPI,TOT,AGRWTH,A,2010,4.156728,
MEX,CPI,TOT,AGRWTH,A,2011,3.40738,
MEX,CPI,TOT,AGRWTH,A,2012,4.111508,
MEX,CPI,TOT,AGRWTH,A,2013,3.80639,
MEX,CPI,TOT,AGRWTH,A,2014,4.018617,
MEX,CPI,TOT,AGRWTH,A,2015,2.720641,
NLD,CPI,TOT,AGRWTH,A,2000,2.360522,
NLD,CPI,TOT,AGRWTH,A,2001,4.155841,
NLD,CPI,TOT,AGRWTH,A,2002,3.287531,
NLD,CPI,TOT,AGRWTH,A,2003,2.091998,
NLD,CPI,TOT,AGRWTH,A,2004,1.263647,
NLD,CPI,TOT,AGRWTH,A,2005,1.68813,
NLD,CPI,TOT,AGRWTH,A,2006,1.101501,
NLD,CPI,TOT,AGRWTH,A,2007,1.613859,
NLD,CPI,TOT,AGRWTH,A,2008,2.486502,
NLD,CPI,TOT,AGRWTH,A,2009,1.189777,
NLD,CPI,TOT,AGRWTH,A,2010,1.275306,
NLD,CPI,TOT,AGRWTH,A,2011,2.34107,
NLD,CPI,TOT,AGRWTH,A,2012,2.455548,
NLD,CPI,TOT,AGRWTH,A,2013,2.506899,
NLD,CPI,TOT,AGRWTH,A,2014,0.9760351,
NLD,CPI,TOT,AGRWTH,A,2015,0.6002482,
NZL,CPI,TOT,AGRWTH,A,2000,2.615233,
NZL,CPI,TOT,AGRWTH,A,2001,2.625821,
NZL,CPI,TOT,AGRWTH,A,2002,2.677091,
NZL,CPI,TOT,AGRWTH,A,2003,1.753576,
NZL,CPI,TOT,AGRWTH,A,2004,2.290249,
NZL,CPI,TOT,AGRWTH,A,2005,3.037021,
NZL,CPI,TOT,AGRWTH,A,2006,3.365404,
NZL,CPI,TOT,AGRWTH,A,2007,2.376143,
NZL,CPI,TOT,AGRWTH,A,2008,3.958944,
NZL,CPI,TOT,AGRWTH,A,2009,2.115656,
NZL,CPI,TOT,AGRWTH,A,2010,2.302026,
NZL,CPI,TOT,AGRWTH,A,2011,4.027903,
NZL,CPI,TOT,AGRWTH,A,2012,1.059918,
NZL,CPI,TOT,AGRWTH,A,2013,1.134418,
NZL,CPI,TOT,AGRWTH,A,2014,1.227513,
NZL,CPI,TOT,AGRWTH,A,2015,0.2927033,
NOR,CPI,TOT,AGRWTH,A,2000,3.085506,
NOR,CPI,TOT,AGRWTH,A,2001,3.004197,
NOR,CPI,TOT,AGRWTH,A,2002,1.286725,
NOR,CPI,TOT,AGRWTH,A,2003,2.487826,
NOR,CPI,TOT,AGRWTH,A,2004,0.4544985,
NOR,CPI,TOT,AGRWTH,A,2005,1.532134,
NOR,CPI,TOT,AGRWTH,A,2006,2.32935,
NOR,CPI,TOT,AGRWTH,A,2007,0.7125891,
NOR,CPI,TOT,AGRWTH,A,2008,3.753931,
NOR,CPI,TOT,AGRWTH,A,2009,2.197386,
NOR,CPI,TOT,AGRWTH,A,2010,2.418906,
NOR,CPI,TOT,AGRWTH,A,2011,1.284952,
NOR,CPI,TOT,AGRWTH,A,2012,0.6968641,
NOR,CPI,TOT,AGRWTH,A,2013,2.120486,
NOR,CPI,TOT,AGRWTH,A,2014,2.041703,
NOR,CPI,TOT,AGRWTH,A,2015,2.171137,
POL,CPI,TOT,AGRWTH,A,2000,9.900174,
POL,CPI,TOT,AGRWTH,A,2001,5.408333,
POL,CPI,TOT,AGRWTH,A,2002,1.905289,
POL,CPI,TOT,AGRWTH,A,2003,0.6826997,
POL,CPI,TOT,AGRWTH,A,2004,3.382648,
POL,CPI,TOT,AGRWTH,A,2005,2.183797,
POL,CPI,TOT,AGRWTH,A,2006,1.284693,
POL,CPI,TOT,AGRWTH,A,2007,2.458743,
POL,CPI,TOT,AGRWTH,A,2008,4.164972,
POL,CPI,TOT,AGRWTH,A,2009,3.795393,
POL,CPI,TOT,AGRWTH,A,2010,2.580694,
POL,CPI,TOT,AGRWTH,A,2011,4.239401,
POL,CPI,TOT,AGRWTH,A,2012,3.560371,
POL,CPI,TOT,AGRWTH,A,2013,0.9919826,
POL,CPI,TOT,AGRWTH,A,2014,0.05382131,
POL,CPI,TOT,AGRWTH,A,2015,-0.8741259,
PRT,CPI,TOT,AGRWTH,A,2000,2.85303,
PRT,CPI,TOT,AGRWTH,A,2001,4.369903,
PRT,CPI,TOT,AGRWTH,A,2002,3.600347,
PRT,CPI,TOT,AGRWTH,A,2003,3.218991,
PRT,CPI,TOT,AGRWTH,A,2004,2.365362,
PRT,CPI,TOT,AGRWTH,A,2005,2.277164,
PRT,CPI,TOT,AGRWTH,A,2006,3.107666,
PRT,CPI,TOT,AGRWTH,A,2007,2.453965,
PRT,CPI,TOT,AGRWTH,A,2008,2.588506,
PRT,CPI,TOT,AGRWTH,A,2009,-0.83553,
PRT,CPI,TOT,AGRWTH,A,2010,1.402573,
PRT,CPI,TOT,AGRWTH,A,2011,3.653011,
PRT,CPI,TOT,AGRWTH,A,2012,2.773339,
PRT,CPI,TOT,AGRWTH,A,2013,0.2744167,
PRT,CPI,TOT,AGRWTH,A,2014,-0.2781534,
PRT,CPI,TOT,AGRWTH,A,2015,0.4879386,
SVK,CPI,TOT,AGRWTH,A,2000,12.03578,
SVK,CPI,TOT,AGRWTH,A,2001,7.329631,
SVK,CPI,TOT,AGRWTH,A,2002,3.127133,
SVK,CPI,TOT,AGRWTH,A,2003,8.554143,
SVK,CPI,TOT,AGRWTH,A,2004,7.548501,
SVK,CPI,TOT,AGRWTH,A,2005,2.709085,
SVK,CPI,TOT,AGRWTH,A,2006,4.483331,
SVK,CPI,TOT,AGRWTH,A,2007,2.756724,
SVK,CPI,TOT,AGRWTH,A,2008,4.59818,
SVK,CPI,TOT,AGRWTH,A,2009,1.615105,
SVK,CPI,TOT,AGRWTH,A,2010,0.9570181,
SVK,CPI,TOT,AGRWTH,A,2011,3.919286,
SVK,CPI,TOT,AGRWTH,A,2012,3.606103,
SVK,CPI,TOT,AGRWTH,A,2013,1.400474,
SVK,CPI,TOT,AGRWTH,A,2014,-0.07616533,
SVK,CPI,TOT,AGRWTH,A,2015,-0.3252198,
ESP,CPI,TOT,AGRWTH,A,2000,3.433517,
ESP,CPI,TOT,AGRWTH,A,2001,3.589833,
ESP,CPI,TOT,AGRWTH,A,2002,3.065766,
ESP,CPI,TOT,AGRWTH,A,2003,3.039234,
ESP,CPI,TOT,AGRWTH,A,2004,3.039202,
ESP,CPI,TOT,AGRWTH,A,2005,3.368454,
ESP,CPI,TOT,AGRWTH,A,2006,3.515375,
ESP,CPI,TOT,AGRWTH,A,2007,2.78703,
ESP,CPI,TOT,AGRWTH,A,2008,4.075661,
ESP,CPI,TOT,AGRWTH,A,2009,-0.2879968,
ESP,CPI,TOT,AGRWTH,A,2010,1.799881,
ESP,CPI,TOT,AGRWTH,A,2011,3.196146,
ESP,CPI,TOT,AGRWTH,A,2012,2.446,
ESP,CPI,TOT,AGRWTH,A,2013,1.408546,
ESP,CPI,TOT,AGRWTH,A,2014,-0.1508703,
ESP,CPI,TOT,AGRWTH,A,2015,-0.5004613,
SWE,CPI,TOT,AGRWTH,A,2000,0.8991438,
SWE,CPI,TOT,AGRWTH,A,2001,2.405958,
SWE,CPI,TOT,AGRWTH,A,2002,2.158482,
SWE,CPI,TOT,AGRWTH,A,2003,1.925655,
SWE,CPI,TOT,AGRWTH,A,2004,0.3736598,
SWE,CPI,TOT,AGRWTH,A,2005,0.4531709,
SWE,CPI,TOT,AGRWTH,A,2006,1.360215,
SWE,CPI,TOT,AGRWTH,A,2007,2.212169,
SWE,CPI,TOT,AGRWTH,A,2008,3.437049,
SWE,CPI,TOT,AGRWTH,A,2009,-0.4944606,
SWE,CPI,TOT,AGRWTH,A,2010,1.157988,
SWE,CPI,TOT,AGRWTH,A,2011,2.961151,
SWE,CPI,TOT,AGRWTH,A,2012,0.8883775,
SWE,CPI,TOT,AGRWTH,A,2013,-0.04429297,
SWE,CPI,TOT,AGRWTH,A,2014,-0.1796385,
SWE,CPI,TOT,AGRWTH,A,2015,-0.04678474,
CHE,CPI,TOT,AGRWTH,A,2000,1.558518,
CHE,CPI,TOT,AGRWTH,A,2001,0.9890171,
CHE,CPI,TOT,AGRWTH,A,2002,0.6427084,
CHE,CPI,TOT,AGRWTH,A,2003,0.6382989,
CHE,CPI,TOT,AGRWTH,A,2004,0.8028826,
CHE,CPI,TOT,AGRWTH,A,2005,1.171951,
CHE,CPI,TOT,AGRWTH,A,2006,1.059525,
CHE,CPI,TOT,AGRWTH,A,2007,0.7323366,
CHE,CPI,TOT,AGRWTH,A,2008,2.426048,
CHE,CPI,TOT,AGRWTH,A,2009,-0.4804679,
CHE,CPI,TOT,AGRWTH,A,2010,0.6882334,
CHE,CPI,TOT,AGRWTH,A,2011,0.2313366,
CHE,CPI,TOT,AGRWTH,A,2012,-0.6925458,
CHE,CPI,TOT,AGRWTH,A,2013,-0.2173085,
CHE,CPI,TOT,AGRWTH,A,2014,-0.01322916,
CHE,CPI,TOT,AGRWTH,A,2015,-1.143901,
TUR,CPI,TOT,AGRWTH,A,2000,54.91538,
TUR,CPI,TOT,AGRWTH,A,2001,54.40018,
TUR,CPI,TOT,AGRWTH,A,2002,44.96412,
TUR,CPI,TOT,AGRWTH,A,2003,21.60244,
TUR,CPI,TOT,AGRWTH,A,2004,8.598262,
TUR,CPI,TOT,AGRWTH,A,2005,8.17916,
TUR,CPI,TOT,AGRWTH,A,2006,9.597242,
TUR,CPI,TOT,AGRWTH,A,2007,8.756181,
TUR,CPI,TOT,AGRWTH,A,2008,10.44413,
TUR,CPI,TOT,AGRWTH,A,2009,6.250977,
TUR,CPI,TOT,AGRWTH,A,2010,8.566444,
TUR,CPI,TOT,AGRWTH,A,2011,6.471879,
TUR,CPI,TOT,AGRWTH,A,2012,8.89157,
TUR,CPI,TOT,AGRWTH,A,2013,7.49309,
TUR,CPI,TOT,AGRWTH,A,2014,8.854572,
TUR,CPI,TOT,AGRWTH,A,2015,7.670854,
GBR,CPI,TOT,AGRWTH,A,2000,0.8,
GBR,CPI,TOT,AGRWTH,A,2001,1.2,
GBR,CPI,TOT,AGRWTH,A,2002,1.3,
GBR,CPI,TOT,AGRWTH,A,2003,1.4,
GBR,CPI,TOT,AGRWTH,A,2004,1.3,
GBR,CPI,TOT,AGRWTH,A,2005,2.1,
GBR,CPI,TOT,AGRWTH,A,2006,2.3,
GBR,CPI,TOT,AGRWTH,A,2007,2.3,
GBR,CPI,TOT,AGRWTH,A,2008,3.6,
GBR,CPI,TOT,AGRWTH,A,2009,2.2,
GBR,CPI,TOT,AGRWTH,A,2010,3.3,
GBR,CPI,TOT,AGRWTH,A,2011,4.5,
GBR,CPI,TOT,AGRWTH,A,2012,2.8,
GBR,CPI,TOT,AGRWTH,A,2013,2.6,
GBR,CPI,TOT,AGRWTH,A,2014,1.5,
GBR,CPI,TOT,AGRWTH,A,2015,0,
USA,CPI,TOT,AGRWTH,A,2000,3.376857,
USA,CPI,TOT,AGRWTH,A,2001,2.826171,
USA,CPI,TOT,AGRWTH,A,2002,1.586032,
